x,y,z
0,0,0
0.34705299139022827,0.22541700303554535,0.9987389445304871
0.2562263607978821,0.17260581254959106,1.082580327987671
0.334538072347641,0.22138535976409912,1.0927705764770508
0.39537256956100464,0.2612232267856598,1.0951778888702393
0.4371853172779083,0.2883855998516083,1.0994937419891357
0.4777451753616333,0.318508118391037,1.0952774286270142
0.5248490571975708,0.3509339392185211,1.0879418849945068
0.6120070815086365,0.42673009634017944,1.085011601448059
0.642713189125061,0.4321643114089966,1.0741125345230103
0.647881269454956,0.4321863055229187,1.0636951923370361
0.6723774075508118,0.42428603768348694,1.0649681091308594
0.7027827501296997,0.45956113934516907,1.0589301586151123
0.7296146154403687,0.4837936758995056,1.0580922365188599
0.7252613306045532,0.5153825283050537,1.0474975109100342
0.7761991024017334,0.570297360420227,1.043428897857666
0.8278613090515137,0.609197735786438,1.0472533702850342
0.868863582611084,0.6190690398216248,1.0392637252807617
